ሀ,ሀ,,ሀ /ha/ ስ/n. (በክስታንኛ ፊደል ገበታ ቀዳሚ ፊደል) the first letter of the Kistaninya alphabet  ,
ኣወጣ ኣወረደ,ኣስጣጠቦ,contemplate ,"ኣስጣጠቦ /ast'at't'#bo/ ግ/v. [yast'at't'$bu, ast'at'b, wast'at'b] (ኣሰላሰለ፣ኣወጣ ኣወረደ) ponder, contemplate ",
,ኣስጫጮ,,ኣስጫጮ /asč'ač'č'o/ ተመልከት see ኣሰጮ as#č'č'o ,
ዘርግቶ ተቀመጠ,ኣስፋፋው,legs spread ,"ኣስፋፋው /asfaffaw/ ግ/v. [yasfaffaw, asfafa, wasfafa] (እግሩን ዘርግቶ ተቀመጠ) sit with legs spread ",
ኣሸተተ,ኣሶታው,smell,"ኣሶታው1 /asottaw/ ግ/v. [yasottaw, asota, wasota] (ኣሸተተ) smell sth. ሺቶዪ ኣሶታንት:: (ሽቶውን ኣሸተተው::) He smelled the perfume.",
ኣጣፈጠ,ኣሶታው,season food,"ኣሶታው2 /asottaw/ ግ/v. [yasottaw, asota, wasota] (ኣሸተተ፣ ምግብን ኣጣፈጠ) season food ዎጢ ማለስ ቅብ ኣሶታቱት፡ (ወጡ ላይ ትንሽ ቅቤ ጨመረችበት፡፡) She seasoned the stew by adding some butter. ",
,ኣሶት ,,ኣሶት /assot/ ተመልከት see ኣሰት ass#t,
ወሬ ኣናፈሰ,ኣስዋታው,spread gossip,"ኣስዋታው /asswattaw/ ግ/v. [yassëwattaw, wassëwata] (ወሬ ኣናፈሰ፣ኣዛመተ) spread gossip or leak secret ጀርጀርሶ የዎለኮኋን ሚስጢር ለኩልም ኣስዋታው፡፡ (ጀርጀርሶ የጐረቤቱን ምስጢር ለሁሉም ኣናፈሰ፡፡) Jerjerso spread his neighbour's secrets to all. ",
ኣጠያየቀ,ኣሸሸሎ,inquiries ,"ኣሸሸሎ /ašš#š#lo/ ግ/v. [yašš«š«lu, ašš«š«l, wašš«š«l] (ኣጠያየቀ) make inquiries ",
ዳነ,ኣሸሸረም,revive,"ኣሸሸረም /ašš#š#r#m/ ግ/v. [yašš#š#ru, wašš#š#r] (ዳነ፣ተረፈ {ከሞት}) revive, recover (from serious illness) በጡብቅ ያመጠጠኒ እምባብ ኣሸሸረም፡፡ (በብርቱ የታመመው ህፃን ከሞት ተርፏል፡፡) The baby who has been seriously ill has now recovered. ",
ተረፈ ,ኣሸሸረም,recover ,"ኣሸሸረም /ašš#š#r#m/ ግ/v. [yašš#š#ru, wašš#š#r] (ዳነ፣ተረፈ {ከሞት}) revive, recover (from serious illness) በጡብቅ ያመጠጠኒ እምባብ ኣሸሸረም፡፡ (በብርቱ የታመመው ህፃን ከሞት ተርፏል፡፡) The baby who has been seriously ill has now recovered. ",
ኣሸሸ,ኣሸሾ,hide,"ኣሸሾ /aš#ššo/ ግ/v. [yaš«šu, ašëš, wašëš] (ኣሸሸ፣ሰወረ) hide, conceal ",
ሰወረ,ኣሸሾ,conceal ,"ኣሸሾ /aš#ššo/ ግ/v. [yaš«šu, ašëš, wašëš] (ኣሸሸ፣ሰወረ) hide, conceal ",
ኣሻንጉሊት,ኣሸንኩሊት,toy,ኣሸንኩሊት /aš#nkullit/ ስ/n. (ኣሻንጉሊት) toy,
ኣሸንዳ ,ኣሸንዳ ,gutter ,ኣሸንዳ /aš#nda/ ስ/n. (ኣሸንዳ) gutter ,
ኣጣመመ,ኣሸፈፎ,slant ,"ኣሸፈፎ /aš#ff#fo/ ግ/v. [yaš«ffu, wašfëf] (ኣንሻፈፈ፣ኣጣመመ) make sth. bend or slant ",
ኣሹቅ,ኣሹቅ,cooked beans ,ኣሹቅ /ašuk'/ ስ/n. (ኣሹቅ) roasted and cooked beans ,
ኣስገነዘበ,ኣሺሎ,notify,"ኣሺሎ1 /aššilo/ ግ/v. [yaššilu, aššil, waššil] (ኣስገነዘበ፣ ኣሳወቀ) notify, inform, report መንግስት ግብር ክፈልም ባለም ልመቲ ኣሺሎ፡፡ (መንግስት ግብር ክፈሉ ብሎ ለህዝቡ ኣሳወቀ፡፡) The government notified the public to pay their taxes in time. ",
ኣስታወቀ,ኣሺሎ,be recognized,"ኣሺሎ2 /aššilo/ ግ/v. [yaššilu, aššil, waššil] (ኣስታወቀ፣ ግልፅ ሆነ) be recognized, be manifested ምስክሪ በፍርድ ጌ ይቅላምድጐይ ኣሶተኘ ዎኩነው ኣሺሎ፡፡ (ምስክሩ ፍርድ ቤት ላይ በመቀላመዱ፣ሃሰተኛ መሆኑ ግልፅ ሆነ፡፡) The witness manifested his being a liar as he told conflicting stories while he was testifying.  ",
ግልፅ ሆነ,ኣሺሎ,manifested,"ኣሺሎ2 /aššilo/ ግ/v. [yaššilu, aššil, waššil] (ኣስታወቀ፣ ግልፅ ሆነ) be recognized, be manifested ምስክሪ በፍርድ ጌ ይቅላምድጐይ ኣሶተኘ ዎኩነው ኣሺሎ፡፡ (ምስክሩ ፍርድ ቤት ላይ በመቀላመዱ፣ሃሰተኛ መሆኑ ግልፅ ሆነ፡፡) The witness manifested his being a liar as he told conflicting stories while he was testifying.  ",
ሸጠ,ኣሺመቶ,sell,"ኣሺመቶ /ašimm#to/ ግ/v./ለእህል/of grain [yašimmëtu, aš«mmët, waš«mmët] (ሸጠ) sell ቡራቆ ኧክል ኣሺመቶ፡፡ (ቡራቆ እህል ሸጠ፡፡) Burako sold some grain.",
ማስታወቂያ,ኣሺሺሎቻ,announcement,ኣሺሺሎቻ /aššišiločča/ ስ/n./ፍጡር ቃል/coinage  (ማስታወቂያ) announcement or notice የዎዘላ ኣሺሺሎቻ በጋዜጣ ኣዠሁም፡፡ (የስራ ማስታወቂያ ጋዜጣ ላይ ኣይቻለሁ፡፡) I have seen a vacancy announcement in the newspaper.,
ኣሸበረ,ኣሺበሮ ,terrorize ,"ኣሺበሮ /aššibb#ro/ ግ/v. [yaššibbëru, wašš«bbër] (ኣሸበረ፣ኣወከ፣ነውጠኛ ሆነ) terrorize others, make others panicked ሽረኚ ባውያተው በተት ሰብ ኣሺበሮ፡፡ (እብዱ በጩኸቱ ብዙ ሰው ኣሸበረ፡፡) The mad man's shouting and terrorizing many people.",
ሸኘ ኣጀበ,ኣሺኞ,accompany,"ኣሺኞ /ašiñño/ ግ/v. [yašiññu, waš«ññ] (ሸኘ፣ኣጀበ) accompany s.o. ፎዬ ያቢኋን ኣሺኞ፡፡ (ፎዬ ኣባቱን ሸኘ፡፡) Foye accompanied his father.",
ኣሰራ,ኣሺከቶ,,"ኣሺከቶ1 /aššikk#to/ ግ/v. [yaššikkëtu, ašš«kkët, wašš«kkët] (ኣሰራ፣ኣስበጀ) have sth. made, have sth. mended ገንዠሞ ኣሺከቶ:: (መጥረቢያ ኣሰራ::) He got an axe made (for himself).",
ኣስጠመቀ,ኣሺከቶ,,"ኣሺከቶ2 /aššikk#to/ ግ/v./ለጠላ/of local beer [yaššikkëtu, ašš«kkët, wašš«kkët] (ኣስጠመቀ) have local beer prepared ያመቲ ማይራም ያዎግርቦ ስከር ኣሺከቶ፡፡ (የኣመቱን ማርያም ለመዘከር ጠላ ኣስጠመቀ፡፡) He got local beer prepared for the yearly commemoration of St.Mary's day.",
ኣስደገፈ,ኣሻመኮ,lean against,"ኣሻመኮ /aššamm#ko/ ግ/v. [yaššammëku, aššamk, waššamk] (ኣስደገፈ) make sth. lean against another thing መሰላሊ በሰንግን ኣሻመከንት፡፡ (መሰላሉን ግድግዳው ላይ ኣስደገፈ፡፡) He leaned the ladder against the wall. ",
,ኣሻማሬ ባሎ,,ኣሻማሬ ባሎ /ašamare balo/ ተመልከት see ሻም ሻም ባሎ šam šam balo,
,ኣሻማው,,ኣሻማው /aššammaw/ ተመልከት see ኣሻከኖ aššakk#no ,
,ኣሻም ,,"ኣሻም /aššam/ ቃ.ኣ/interj. (ስራ ላይ ላለ ሰው ከኣላፊ ኣግዳሚው የሚሰጥ የማበረታቻ ሰላምታ) passers by encouraging word to a working person ተዎተለፍዲ የዎዘልተኞቺ ኣሻም ባኩነሙን፡፡ (በዚያ በኩል ሳልፍ ሰራተኞቹን ""ኣሻም"" ኣልኳቸው፡፡) I encouraged the workers with the word aššam as I passed by.",
,ኣሻምታ ,,"ኣሻምታ /aššamta/ ስ/n. (""ኣሻም"" ማለት)encouraging words to workers  ",
ኣሻራ,ኣሻራ,fingerprint ,ኣሻራ1 /ašara/ ስ/n. (ኣሻራ፣የጣት ኣሻራ) fingerprint ,
የቡና ኣተላ,ኣሻራ,dregs,ኣሻራ2 /ašara/ ስ/n. (የቡና ኣተላ) dregs (coffee) ,
,ኣሻራ,whorl ,ኣሻራ3 /ašara/ ስ/n. (ከራስ ቅል የኋለኛ ክፍል ክብ የፀጉር ኣበቃቀል መስመር) whorl on the back part of a person's head  ,
,ኣሻሮ,,ኣሻሮ /ašaro/ ተመልከት see ሸሞን š«mon,
ተንቀራፈፈ,ኣሻሺሮ ,lag,"ኣሻሺሮ /ašaširo/ ግ/v. [yašaširu, wašašir] (ተንቀራፈፈ) lag to do a job ኤርፌ ዎዘላ ለዎቅርስ ኣሻሺሮ፡፡ (ኤርፌ ስራ ለመጀመር ተንቀራፈፈ፡፡) Erfe lagged to start working.",
ሰርግ ደገሰ,ኣሻበሎ,,"ኣሻበሎ /ašabb#lo/ ግ/v. [yašabbëlu, ašabl, wašabl] (ሰርግ ደገሰ) prepare marriage feast (usually done by parents)",
,ኣሻበቶ,,"ኣሻበቶ1 /aššabb#to/ ግ/v./እንሰትን/of «ss«t [yaššabbëtu, aššabt, waššabt] (የደረሰ የእንሰት ምርትን ተካፈለ {ከጢሰኛ ጋር}) share or levy matured «ss«t produce (with a tenant) ",
,ኣሻበቶ,,"ኣሻበቶ2 /aššabb#to/ ግ/v. [yaššabbëtu, aššabt, waššabt] (ለምርት የደረሰ የእንሰት ሰብል መረጠ) select matured «ss«t for harvesting ",
ሻሞ ኣለ,ኣሻከኖ,thrown up,"ኣሻከኖ /aššakk#no/ ግ/v. [yaššakkënu, aššakn, waššakn] (ኣሻማ፣ሻሞ ኣለ) make others scramble for sth. scattered or thrown up ባዴቦ ለባዮቺ ከረሜላ ብራጨም ኣሻከነሙን፡፡ (ባዴቦ ከረሜላ በትኖ ልጆቹን ኣሻማቸው፡፡) Badebo scattered some sweets to the children so  that they would scramble for them.   ",
ኣናጋው,ኣሻገጠንት ,out of function,"ኣሻገጠንት /aššagg«t'«nnët/ ግ/v. [yaššaggët't'ët, waššagt'] (ኣናጋው፣ኣበላሸው {ለቁልፍ}) make out of function (padlock) ",
,ኣሻግጥ,,ኣሻግጥ /aššagt'/ ስ/n. (የእንሰት ኣይነት ስም) one variety of «ss«t,
ኣዘበራረቀ,ኣሻጠሮ,out of rhythm,"ኣሻጠሮ1 /aššat't'#ro/ ግ/v. [yaššat't'ëru, waššat'r] (ኣዘበራረቀ {ጭብጨባን}) be out of tune (in clapping hands at a dance) ",
ብስል ተጥሬ,ኣሻጠሮ, roast unevenly ,"ኣሻጠሮ2 /aššat't'#ro/ ግ/v. [yaššat't'ëru, waššat'r] (ብስል ተጥሬ ኣርጐ ቆላ) roast unevenly ",
ኣጥር ኣሰራ ,ኣሽመጠጦ,fence,"ኣሽመጠጦ /aššëm#t't'#t'o/ ግ/v./ ለኣጥር/of a fence [yaššëmat't'ët'u, waššëm«t'ët'] (ኣጥር ኣሰራ {ጨፈቃ ጠላልፎ}) make a woven fence (of branches and ground-driven poles)",
ኣሽሙረኛ,ኣሽሙረኘ,sarcastic,ኣሽሙረኘ /ašmur#ññ#/ ቅ/adj. (ኣሽሙረኛ፣ኣሽሟጣጭ) a sarcastic person,
ኣሽሙር ,ኣሽሙር ,sarcasm ,"ኣሽሙር /ašmur/ ስ/n. (ኣሽሙር፣ኣግቦ፣ሽሙጥ) veiled insult, sarcasm ",
ሽሙጥ,ኣሽሙር ,veiled insult,"ኣሽሙር /ašmur/ ስ/n. (ኣሽሙር፣ኣግቦ፣ሽሙጥ) veiled insult, sarcasm ",
ኣላከከ,ኣሽማመኮ,shift blame,"ኣሽማመኮ /ašš³mamm#ko/ ግ/v. [yaššëmammëku, waššëmamk] (ኣላከከ፣ኣስታከከ) shift blame on others ኳ ጥፋተው ተኪያየን ኣሽማመኮ፡፡ (እሱ ጥፋቱን እሷ ላይ ኣላከከ፡፡) He shifted the blame on her for his misdeed.",
ኣሽሟጠጠ,ኣሽሟጠጦ,speak sarcastically ,"ኣሽሟጠጦ /ašmuwat't'#t'o/ ግ/v. [yašmuwat't'ët'u, wašmuwat't'] (ኣሽሟጠጠ፣ በኣሽሙር ተናገረ) speak sarcastically ",
,ኣሽሟጣጭ,,ኣሽሟጣጭ /aš³muwat'ač'/ ተመልከት see ኣሽሙረኘ ašmur#ññ#,
ተንፏቆ ወጣ,ኣሽቃቀሞ ,climb up,"ኣሽቃቀሞ /ašk'ak'k'#mo/ ግ/v. [yašk'ak'k'ëmu, ašk'ak'm, wašk'ak'm] (ተንፏቆ ወጣ) climb up a tree ኣንጋቺ ኣሽቃቀመም በዛፍ ላለ ዎጣው፡፡ (ድመቱ ተንፏቆ ዛፍ ላይ ወጣ፡፡) The cat climbed up a tree.",
ምናምን,ኣሽቃይ,something thing,"ኣሽቃይ /ašk'ay/ ተ.ስ/pron. (ምናምን፣ኣንዳች ነገር) sth., an unidentified thing ኣሽቃይ ያትጊኙኑ? (ኣንዳች ነገር ያስገኝ ይሆን?) Could sth. be obtained out of it?  ",
ጥርቅምቃሚ,ኣሽቃይ ታሽቃይ,assorted,ኣሽቃይ ታሽቃይ1 /ašk'ay tašk'ay/ ስ/n. (ጥርቅምቃሚ) assorted  things or items ጉርዚ ኣሽቃይ ታሽቃይ በሳጥን ጠቀነም፡፡ (ሽማግሌው ጥርቅምቃሚ ነገሮችን በሳጥን ኣኑረዋል፡፡) The old man has kept an assortment of things in a box. ,
እርባናቢስ,ኣሽቃይ ታሽቃይ,pointless,"ኣሽቃይ ታሽቃይ2 /ašk'ay tašk'ay/ ስ/n. (ኣርቲቡርቲ፣እርባናቢስ {ንግግርን}) pointless, frivolous ሽረኚ ኣሽቃይ ታሽቃይ ኣዎረሮ፡፡ (የኣእምሮ በሽተኛው እርባና ቢስ ነገሮችን ተናገረ፡፡) The insane person made a pointless speech.  ",
ኣርቲቡርቲ,ኣሽቃይ ታሽቃይ,frivolous,"ኣሽቃይ ታሽቃይ2 /ašk'ay tašk'ay/ ስ/n. (ኣርቲቡርቲ፣እርባናቢስ {ንግግርን}) pointless, frivolous ሽረኚ ኣሽቃይ ታሽቃይ ኣዎረሮ፡፡ (የኣእምሮ በሽተኛው እርባና ቢስ ነገሮችን ተናገረ፡፡) The insane person made a pointless speech.  ",
ጫነ,ኣሽባለሎ,load,"ኣሽባለሎ1 /ašball#lo/ ግ/v. /ለበቅሎ፣ ለኣህያ፣ወዘተ/ of a mule, a donkey, etc. [yašballëlu, ašball, wašball] (ጫነ) load (pack animal) ገለቱ ኧማር ኣሽባለሎ፡፡ (ገለቱ ኣህያ ጫነ፡፡) Galatu loaded up a donkey.",
ኣሸረጠ,ኣሽባለሎ,,"ኣሽባለሎ2 /ašball#lo/ ግ/v. [yašballëlu, ašball, wašball] (ኣገለደመ፣ኣሸረጠ) wear or put on a garment around one's waist.  ",
ኣነከሰ,ኣሽነቀሮ,walk lamely,"ኣሽነቀሮ /ašn#k'k'#ro/ ግ/v. [yašn«k'k'ëru, waš«nk'ër] (ኣነከሰ) walk lamely ኧግረው የሰበሪ ቦራ ዘግ ዪብልጐይ ያሽነቅሩ፡፡ (እግሩ የተሰበረው በሬ ሲንቀሳቀስ ያነክሳል፡፡) The ox whose leg is broken walks lamely.",
,ኣሽነከሎ,,ኣሽነከሎ /ašn#kk#lo/ ተመልከት see ኣሽነቀሮ ašn#k'k'#ro,
,ኣሽና,,"ኣሽና /ašna/ ስ/n. (የ""ዋጋ"" መሰኪያ የተጠረበ እንጨት) a wooden slab with a hole that supports wagga  ",
ሽኮኮ,ኣሽካኮ,squirrel,ኣሽካኮ /aškako/ ስ/n. (ሽኮኮ) squirrel,
ወጥመድ,ኣሽክለ,net trap ,ኣሽክለ /aškëll«/ ስ/n. (የጅግራ ወይም የቆቅ ወጥመድ) fowl net trap (for guinea fowl or partridge) ,
ኣሽከር,ኣሽክር,servant,ኣሽክር /ašk³r/ ስ/n. [2] (ኣሽከር) servant,
ኣሽከርነት,ኣሽክርነት,, ኣሽክርነት /ašk$r³nn#t/ ስ/n. (ኣሽከርነት) being employed as a servant ,
እንደማይሆን,ኣሽኮም,oddly,ኣሽኮም /aškom/ ተ.ግ/adv. (እንደማይሆን) oddly ሽረኚ ኣሽኮም ዪቂናንት፡፡ (የኣእምሮ በሽተኛው እንደማይሆን ያረገዋል፡፡) The insane person behaves oddly.  ,
,ኣሽኮም ታሽኮም ,,ኣሽኮም ታሽኮም /aškom taškom/ ተመልከት see ኣሽኮም aškom,
,ኣሽፈሸፎ ,,ኣሽፈሸፎ /ašf#šš#fo/ ተመልከት see ኣጭፋጨፎ ač'fač'č'#fo ,
ኣፈላለገ,ኣሾ,search ,"ኣሾ /aššo/ ግ/v. [yaššo, ašš«, wašš«] (ኣስፈለገ፣ኣፈላለገ) make others find or search ",
ኣሾለከ,ኣሾለኮ,pass through,"ኣሾለኮ1 /ašoll#ko/ ግ/v. [yaššollëku, ašolk, waššollëk] (ኣሾለከ፣ በኣንዳች ነገር መሃል ኣሳለፈ) make sth. pass through another thing ፈትል በመርፍ ቁድ ኣሾለኮ፡፡ (በመርፌ ቀዳዳ ክር ኣሾለከ፡፡) He passed a thread through the eye of a needle. ",
ኣስመለጠ,ኣሾለኮ,,"ኣሾለኮ2 /ašoll#ko/ ግ/v. [yaššollëku, ašolk, waššollëk] (ኣስመለጠ) cause sth. to be taken away ሌቢ የሰረቀኒ ኧጣይ በጓራ ዘባ ኣሾለኮ፡፡ (ሌባው የሰረቀውን በግ በጓሮ በኩል ኣስመለጠ፡፡) The thief made the sheep he stole taken away through the backyard. ",
ኣንጀት,ኣሾተል ,intestine ,ኣሾተል /ašot#l/ ስ/n. (ኣንጀት) intestine ከ.ረ/K.R,
ኣሾፈ,ኣሾፎ,mock,"ኣሾፎ1 /ašofo/ ግ/v. [yašofu, wašuf] (ኣሾፈ፣ቀለደ) mock, joke ",
ቀለደ,ኣሾፎ,joke ,"ኣሾፎ1 /ašofo/ ግ/v. [yašofu, wašuf] (ኣሾፈ፣ቀለደ) mock, joke ",
,ኣሾፎ,,ኣሾፎ2 /ašofo/   ተመልከት see ኣላገጦ allagg#t′o,
ኣቃለለ,ኣቀለሎ,relieve,"ኣቀለሎ1 /ak'#ll#lo/ ግ/v. [yak'«llu, ak'lël, wak'lël] (ኣቃለለ) relieve, solve ",
ኣቃለለ,ኣቀለሎ,solve ,"ኣቀለሎ1 /ak'#ll#lo/ ግ/v. [yak'«llu, ak'lël, wak'lël] (ኣቃለለ) relieve, solve ",
ኣቃለለ,ኣቀለሎ,lighten,"ኣቀለሎ2 /ak'#ll#lo/ ግ/v. [yak'«llu, ak'lël, wak'lël] (ኣቃለለ {ጭነት፣ ክብደት}) lighten, lessen burden ",
,ኣቀምቢየ ,,ኣቀምቢየ /ak′#mbiy#/ ተመልከት see እማጠሊት ³mmat't'#llit ከ.ረ/K.R,
ኣቀረረ,ኣቀረሮ,pour slowly,"ኣቀረሮ1 /ak'#rr#ro/ ግ/v. [yak'«rru, ak'rër, wak'rër] (ኣቀረረ፣ የጠለለውን ኣቅርሮ ቀዳ) pour carefully and slowly (so as to get clear liquid) ቡና ኣቀረረም ቀዳው፡፡ (ቡና ኣቅርሮ ቀዳ፡፡) He poured coffee slowly.   ",
ኣጠለለ,ኣቀረሮ,water on top,"ኣቀረሮ2 /ak'#rr#ro/ ግ/v. [yak'«rru, wak'rër] (ኣጠለለ፣ውሃ ከላይ ኣቀረረ) form water on top ኧፋቲ ጠፋም ዪጋ ኣቀረሮ፡፡ (ወተቱ ተበላሽቶ ውሃ ኣቀረረ፡፡) The milk turned bad and formed water at the top.  ",
ኣስጠጋ,ኣቀረቦ,bring close ,"ኣቀረቦ1 /ak'#rr#bo/ ግ/v. [yak'«rbu, ak'rëb, wak'rëb] (ኣቀረበ፣ ኣስጠጋ) bring close ",
,ኣቀረቦ,,ኣቀረቦ2 /ak'#rr#bo/ ተመልከት see ኣምለከቶ2 aml#kk#to,
ኣቀረበ,ኣቀረቦ,serve,"ኣቀረቦ3 /ak'#rr#bo/ ግ/v. [yak'«rbu, ak'rëb, wak'rëb] (ኣቀረበ፣ ኣመጣ) serve ኳ ስከር ኣቀረቦ፡፡ (እሱ ጠላ ኣቀረበ፡፡) He served local beer.  ",
ሰላምታ ሰጠ,ኣቀረቦ,salute  ,"ኣቀረቦ4 /ak'#rr#bo/ ግ/v. [yak'«rbu, ak'rëb, wak'rëb] (ኣቀረበ፣ ሰላምታ ሰጠ) greet, salute  ",
ኣጐደለ,ኣቀበሎ,partially emptied ,"ኣቀበሎ /ak'#bb#lo/ ግ/v. [yak'ibb³lu, ak'«bbël, wak'«bbël] (ኣጐደለ) make partially empty ኳ የትክዪ ዪጋ ኣቀበሎ፡፡ (እሱ የቶፋውን ውሃ ኣጐደለው፡፡) He partially emptied the water in the pot.",
ኣለማ,ኣቀናው,develop virgin land ,"ኣቀናው /ak'#nnaw/ ግ/v. [yak'«naw, ak'na, wak'na] (ኣለማ፣ ድንግል መሬትን ኣቀና) develop virgin land ",
ኣቀጠነ,ኣቀጠኖ ,make thin,"ኣቀጠኖ /ak'#t't'#no/ ግ/v. [yak'«t'nu, ak't'ën, wak't'ën] (ኣቀጠነ) make thin ኳ ኢጋ ኣበዛቦም ዎጢ ኣቀጠነንት፡፡ (እሱ ውሃ ኣብዝቶበት ወጡን ኣቀጠነው፡፡) He thinned the stew by adding some water. ",
,ኣቀጨጮ ,,ኣቀጨጮ /ak'#č'č'#č'o/ ተመልከት see ኣጢዦ at't'ižžo ,
ኣቁላላ,ኣቁላላው,fry onions,"ኣቁላላው /ak'ulallaw/ ግ/v. [yak'ulallaw, ak'ulala, wak'ulala] (ኣቁላላ) fry onions (with fat) ",
ኣጐበጠ,ኣቁላመሞ,bent,"ኣቁላመሞ /ak'k'ulamm#mo/ ግ/v. [yak'k'ul#mmëmu, ak'k'olm³m, wak'k'olm³m] (ኣቆላመመ፣ኣጐበጠ) bend or curve sth. ከዘሪ ኣቁለመመንት፡፡ (ከዘራውን ቆለመመው፡፡) He bent the walking cane. ",
,ኣቁላመሞ,curve,"ኣቁላመሞ /ak'k'ulamm#mo/ ግ/v. [yak'k'ul#mmëmu, ak'k'olm³m, wak'k'olm³m] (ኣቆላመመ፣ኣጐበጠ) bend or curve sth. ከዘሪ ኣቁለመመንት፡፡ (ከዘራውን ቆለመመው፡፡) He bent the walking cane. ",
ቆጠበ,ኣቁላቾ,save ,"ኣቁላቾ /ak'ulaččo/ ግ/v./ለገንዘብ/of money [yak'ulačču, ak'ulač, wak'ulač] (ቆጠበ፣ኣጠራቀመ) save ሉቡ ዋጋ ኣቁላቾ፡፡ (ሉቡ ገንዘብ ኣጠራቀመ፡፡) Lubbu saved some money. ",
ቁጠባ,ቆለቻን,saving,ቆለቻን /k'ol#ččan/ ስ/n. (ቁጠባ) saving ቆለቻን ጉነን ያትቸሉ:: (ቁጠባ ራስን ያስችላል፡፡) Saving enables  one to be self-supporting.,
,ኣቁመረረቲ,,"ኣቁመረረቲ /ak'um#rr#r#tti/ ግ/v. [tak'um«rrëri, wak'omrër] (ኮስተር ኣርጋ ጠመቀች {ጠላ}) prepare local beer well ፍታል ኣቁመረረትም ስከር ሺከተቲ፡፡ (ፍታል ኮስተር ያለ ጠላ ጠመቀች፡፡) Fettal prepared good quality local beer. ",
,ኣቁረቆዞ,,ኣቁረቆዞ /ak'ur#k'k'ozo/ ተመልከት see ኣጢዦ at't'ižžo,
,ቆርቋዛ,,"ቆርቋዛ /k'orkuwazza/ ቅ/adj. (ኮስማና፣ቀጫጫ) stunted,  emaciated (plant, animal, person)",
ኣቆረፈደ,ኣቁረፈዶ,make stiff,"ኣቁረፈዶ /ak'k'ur#ff#do/ ግ/v. [yak'ur«ffëdu, wak'orfëd] (ኣቆረፈደ፣ኣቆራፈደ) make stiff ጐጊ ጨበር ኣቁረፈደንት፡፡ (ቆዳውን ፀሃይ ኣቆረፈደው፡፡) The sun made the hide stiff. ",
ቆርፋዳ,ቆርፋዳ,rigid ,"ቆርፋዳ /k'orfadda/ ቅ/adj. (ቆርፋዳ) stiff, rigid ",
ኣስቆጨ,ኣቁጨጮ,regret,"ኣቁጨጮ /ak'k'uč'#č'č'o/ ግ/v. [yak'k'uč'«č'č'u, wak'k'uč'«č'] (ኣስቆጨ) cause s.o. to feel regret ስሙሪ የጐሸው ዎጥፋ አቁጨጨንት፡፡ (የልጁ መበላሸት ስሙሪን አስቆጨው፡፡) That his son got spoiled made Semuri nervous. ",
ብስጭት,ቁጫት,vexation ," ቁጫት /k'uč'at/ ስ/n. (ንዴት፣ ብስጭት) nervousness, vexation ",
ተናዳጅ,ቁጫትመኘ,irritable peevish   ," ቁጫትመኘ /k'uč'atm#ññ#/ ቅ/adj. (ንዴተኛ፣ተናዳጅ) irritable, peevish   ",
ቂም ያዘ,ኣቂሞ ,,"ኣቂሞ /ak'imo/ ግ/v. [yak'imu, wak'im] (ኣቄመ፣ቂም ያዘ) resent s.o., hold grudge against s.o. ኳ በመሶኋን ኣቂሞ፡፡ (እሱ በጠላቱ ላይ ቂም ያዘ፡፡) He held a grudge against his enemy. ",
ቅያሜ,ቂም,grudge resentment,"ቂም /k'im/ ስ/n (ቂም፣ቅያሜ) resentment, grudge",
ቂመኛ,ቂመኘ,resentful,"ቂመኘ /k'im#ññ#/ ቅ/adj. (ቂመኛ) resentful, vindictive ",
,ቂመኘ,vindictive ,"ቂመኘ /k'im#ññ#/ ቅ/adj. (ቂመኛ) resentful, vindictive ",
ኣስጀመረ,ኣቂረሶ,have started ,"ኣቂረሶ /ak'k'irr#so/ግ/v. [yak'k'irr³su, ak'k'arr³s, wak'k'#rr³s] (ኣስጀመረ) have sth. started ",
ኣስቀረበ,ኣቂረቦ ,sued ,"ኣቂረቦ /ak'k'irr#bo/ ግ/v. [yak'k'irr³bu, ak'k'arr³b, wak'k'#rr³b] (ኣስቀረበ) cause sth. or s.o., to be sued ሊባሶ ዋጋ የሰረቀኒ ሌባ ከሰሰም በፖሊስ ፍርድጌ ኣቂረቦ፡፡ (ሊባሶ ገንዘብ የሰረቀውን ሌባ ከሶ በፖሊስ ፍርድ ቤት ኣስቀረበው፡፡) Libaso sued the thief who stole his money and made him appear before the court.",
ኣስቀረ,ኣቂሮ,,"ኣቂሮ /ak'irro/ ግ/v. [yak'iru, ak'ir, wak'ir] (ኣስቀረ፣እንዳይመለስ ኣደረገ) fail to give back ኣርጋ የትዋሰኒ ገንዠሞ ኣቂሮ፡፡ (ኣርጋ የተዋሰውን መጥረቢያ ኣስቀረ፡፡) Arga failed to return the axe he borrowed. ",
ኣቀበለ,ኣቂበሎ ,pass on  pass on,"ኣቂበሎ /ak'ibb#lo/ ግ/v. [yak'ibbëlu, ak'«bbël, wak'«bbël] (ኣቀበለ፣ ሰጠ) pass on,   ባርዴ ዶማ ኣቂበሌው፡፡ (ባርዴ ዶማ ኣቀበለኝ፡፡) Barde handed me the hoe.",
